Plenarprotokoll	PLE	Cap	B-PLENARYPRO
18	NUM	NoCap	B-NUMBER
/	DIV	NoCap	B-DIV
3	NUM	NoCap	B-NUMBER
Deutscher	PAR	Cap	B-PARAGRAPH
Bundestag	PAR	Cap	I-PARAGRAPH
Stenografischer	PAR	Cap	I-PARAGRAPH
Bericht	PAR	Cap	I-PARAGRAPH

3	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
Sitzung	MEETING	Cap	B-MEETING

Berlin	STATE	Cap	B-STATE
,	DOT	NoCap	B-DOT
Donnerstag	WEEKDAY	Cap	B-WEEKDAY
,	DOT	NoCap	B-DOT
den	PAR	NoCap	B-PARAGRAPH
28	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
November	MONTH	Cap	B-MONTH
2013	NUM	NoCap	B-NUMBER

I	CONTENT	Cap	B-CONTENT
n	CONTENT	NoCap	I-CONTENT
h	CONTENT	NoCap	I-CONTENT
a	CONTENT	NoCap	I-CONTENT
l	CONTENT	NoCap	I-CONTENT
t	CONTENT	NoCap	I-CONTENT
:	CONTENT	NoCap	I-CONTENT

Nachruf	PAR	Cap	B-PARAGRAPH
auf	PAR	NoCap	I-PARAGRAPH
den	PAR	NoCap	I-PARAGRAPH
ehemaligen	PAR	NoCap	I-PARAGRAPH
Bundestagsvizepräsidenten	PAR	Cap	I-PARAGRAPH
Dieter-Julius	PAR	Cap	I-PARAGRAPH
Cronenberg	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
.	DOT	NoCap	I-DOT
.	DOT	NoCap	I-DOT
.	DOT	NoCap	I-DOT
.	DOT	NoCap	I-DOT
75	NUM	NoCap	B-NUMBER
A	PAR	Cap	B-PARAGRAPH

Erweiterung	PAR	Cap	B-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
Abwicklung	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Tagesordnung	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
.	DOT	NoCap	I-DOT
.	DOT	NoCap	I-DOT
.	DOT	NoCap	I-DOT
.	DOT	NoCap	I-DOT
.	DOT	NoCap	I-DOT
.	DOT	NoCap	I-DOT
.	DOT	NoCap	I-DOT
