Beginn	BE	Cap	B-BEGIN
:	COL	NoCap	B-COLON
9.00	NUM	NoCap	B-NUMBER
Uhr	TIME	Cap	B-TIME

Präsident	PRE	Cap	B-PRESIDENT
Dr.	TITLE	Cap	B-TITLE
Norbert$Lammert	NAME	Cap	B-NAME
:	COL	NoCap	B-COLON

Die	PAR	Cap	B-PARAGRAPH
Sitzung	PAR	Cap	I-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
eröffnet	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Nehmen	PAR	Cap	B-PARAGRAPH
Sie	PAR	Cap	I-PARAGRAPH
bitte	PAR	NoCap	I-PARAGRAPH
Platz	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Ich	PAR	Cap	B-PARAGRAPH
begrüße	PAR	NoCap	I-PARAGRAPH
Sie	PAR	Cap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
unserer	PAR	NoCap	I-PARAGRAPH
Plenarsitzung	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
möchte	PAR	NoCap	I-PARAGRAPH
Sie	PAR	Cap	I-PARAGRAPH
davon	PAR	NoCap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
Kenntnis	PAR	Cap	I-PARAGRAPH
setzen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
eine	PAR	NoCap	I-PARAGRAPH
interfraktionelle	PAR	NoCap	I-PARAGRAPH
Vereinbarung	PAR	Cap	I-PARAGRAPH
gibt	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
in	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
nächsten	PAR	NoCap	I-PARAGRAPH
Sitzungswochekeine	PAR	Cap	I-PARAGRAPH
Befragung	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Bundesregierung	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
keine	PAR	NoCap	B-PARAGRAPH
Fragestunde	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
keine	PAR	NoCap	I-PARAGRAPH
Aktuellen	PAR	Cap	I-PARAGRAPH
Stunden	PAR	Cap	I-PARAGRAPH
stattfinden	PAR	NoCap	I-PARAGRAPH
zulassen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Der	PAR	Cap	B-PARAGRAPH
Hintergrund	PAR	Cap	I-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
schlicht	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
übliche	PAR	NoCap	I-PARAGRAPH
Vereinbarung	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
Haushaltswochen	PAR	Cap	I-PARAGRAPH
oder	PAR	NoCap	I-PARAGRAPH
bei	PAR	NoCap	I-PARAGRAPH
Regierungserklärungen	PAR	Cap	I-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
ganzwöchiger	PAR	NoCap	I-PARAGRAPH
Plenardebatte	PAR	Cap	I-PARAGRAPH
Fragestundeund	PAR	Cap	I-PARAGRAPH
Regierungsbefragung	PAR	Cap	I-PARAGRAPH
entfallen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Ich	PAR	Cap	B-PARAGRAPH
vermute	PAR	NoCap	I-PARAGRAPH
einmal	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
Sie	PAR	Cap	I-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
dieser	PAR	NoCap	I-PARAGRAPH
Vereinbarung	PAR	Cap	I-PARAGRAPH
einverstanden	PAR	NoCap	I-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Das	PAR	Cap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
offenkundig	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Fall	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Ich	PAR	Cap	B-PARAGRAPH
rufe	PAR	NoCap	I-PARAGRAPH
unseren	PAR	NoCap	I-PARAGRAPH
Tagesordnungspunkt	AGEN	Cap	B-AGENDA
15	NUM	NoCap	B-NUMBER
auf	PAR	NoCap	B-PARAGRAPH
:	COL	NoCap	B-COLON

Vereinbarte	PAR	Cap	B-PARAGRAPH
Debatte	PAR	Cap	I-PARAGRAPH

zum	PAR	NoCap	B-PARAGRAPH
Arbeitsprogramm	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Europäischen	PAR	Cap	I-PARAGRAPH
Kommission	PAR	Cap	I-PARAGRAPH

Nach	PAR	Cap	B-PARAGRAPH
einer	PAR	NoCap	I-PARAGRAPH
interfraktionellen	PAR	NoCap	I-PARAGRAPH
Vereinbarung	PAR	Cap	I-PARAGRAPH
sind	PAR	NoCap	I-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Aussprache	PAR	Cap	I-PARAGRAPH
96	NUM	NoCap	B-NUMBER
Minuten	TIME	Cap	B-TIME
vorgesehen	PAR	NoCap	B-PARAGRAPH
.	DOT	NoCap	B-DOT
–	PAR	NoCap	B-PARAGRAPH
Auch	PAR	Cap	I-PARAGRAPH
hierzu	PAR	NoCap	I-PARAGRAPH
höre	PAR	NoCap	I-PARAGRAPH
ich	PAR	NoCap	I-PARAGRAPH
keinen	PAR	NoCap	I-PARAGRAPH
Widerspruch	MOOD	Cap	B-MOOD
.	DOT	NoCap	B-DOT
Also	PAR	Cap	B-PARAGRAPH
können	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
so	PAR	NoCap	I-PARAGRAPH
verfahren	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Ich	PAR	Cap	B-PARAGRAPH
eröffne	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Aussprache	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
erteile	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
Wort	PAR	Cap	I-PARAGRAPH
dem	PAR	NoCap	I-PARAGRAPH
Kollegen	PAR	Cap	I-PARAGRAPH
Axel	NAME	Cap	B-NAME
Schäfer	NAME	Cap	I-NAME
für	PAR	NoCap	B-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
